gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT1G63930	8	0	6	6	2	1	22	8	9
AT1G63940	2387	1972	2004	970	1085	550	1278	1743	970
AT1G63950	0	2	8	2	0	0	0	0	0
AT1G63960	0	2	0	4	0	2	0	0	0
AT1G63970	1888	1986	2371	1663	1599	1581	1813	1793	1662
AT1G63980	2066	2256	2115	1421	1171	1230	1083	1475	1116
AT1G63990	342	335	307	192	112	175	128	232	150
AT1G64000	0	4	3	1	0	1	0	0	0
AT1G64010	5	2	2	7	2	7	2	0	3
AT1G64020	3	2	2	3	0	1	0	0	5
AT1G64030	0	0	0	4	0	1	0	0	0
AT1G64040	1440	2006	1874	1501	1251	1366	1481	1363	1328
AT1G64050	1016	1208	1158	891	844	944	415	620	771
AT1G64060	271	365	287	419	732	735	556	434	557
AT1G64065	114	146	164	1016	954	1052	332	153	515
AT1G64070	0	1	2	2	18	0	16	0	0
AT1G64080	185	102	83	69	93	74	14	39	14
AT1G64090	2280	2108	1985	1512	1142	1107	1316	1667	1299
AT1G64100	217	223	239	243	156	185	248	193	176
AT1G64105	211	243	259	260	170	206	283	205	206
AT1G64107	0	1	1	0	2	2	1	0	15
AT1G64110	13	5	5	45	52	222	1	1	523
AT1G64120	0	0	0	0	0	0	0	0	0
AT1G64130	0	0	0	0	0	0	5	1	0
AT1G64140	2206	3983	3054	2721	2189	2254	3196	3028	2891
AT1G64150	1204	740	1099	875	1004	703	898	1068	921
AT1G64160	0	58	0	2	0	0	0	0	4
AT1G64170	346	1522	563	328	182	169	255	151	289
AT1G64180	236	323	247	189	106	205	97	133	126
AT1G64185	77	58	65	37	16	19	27	37	13
AT1G64190	1584	1986	1670	1007	664	758	787	1084	718
AT1G64195	2	0	5	6	3	1	10	6	5
AT1G64200	1873	2098	913	1218	949	401	3334	3986	3651
AT1G64210	13	31	6	11	0	10	35	22	34
AT1G64220	29	26	17	12	0	6	5	3	3
AT1G64230	4747	5715	6306	4538	3679	4228	2560	3354	3322
AT1G64235	0	0	0	0	0	0	0	0	0
AT1G64253	33	6	4	13	2	6	0	12	0
AT1G64255	0	0	0	1	0	0	0	0	0
AT1G64260	53	9	32	5	0	0	3	6	4
AT1G64280	1779	2349	1875	2168	3185	1986	2097	1818	1900
AT1G64290	0	1	1	0	0	0	0	0	0
AT1G64295	0	0	0	0	0	0	0	0	0
AT1G64300	106	98	120	100	75	46	138	87	107
AT1G64310	30	34	24	25	14	22	10	25	4
AT1G64320	66	80	48	29	30	35	17	20	19
AT1G64330	1257	720	1314	197	159	186	127	215	197
AT1G64340	0	0	0	0	0	0	0	0	0
AT1G64350	599	741	710	419	278	391	293	339	393
AT1G64355	1510	918	1500	1595	1260	1160	770	1462	1012
AT1G64360	173	676	621	1746	1016	1806	386	327	352
AT1G64370	2639	3609	4834	5512	7030	7863	7060	5497	5365
AT1G64380	230	809	378	386	629	473	3131	1416	1627
AT1G64385	657	884	870	700	748	578	441	468	375
AT1G64390	629	512	489	517	1329	310	2481	2282	1356
AT1G64400	694	992	788	846	815	679	698	394	680
AT1G64405	12	38	22	8	0	8	6	2	8
AT1G64420	0	0	0	0	0	0	0	0	0
AT1G64430	2307	1662	2108	1738	1702	1460	1132	1770	1605
AT1G64440	524	346	374	279	381	249	295	352	347
AT1G64450	273	81	171	64	26	19	13	26	18
AT1G64455	184	47	99	38	19	9	10	16	13
AT1G64460	412	415	391	332	447	337	697	608	506
AT1G64480	0	0	0	0	1	0	0	2	1
AT1G64490	256	224	214	146	46	68	44	96	48
AT1G64500	401	440	438	163	142	160	120	132	166
AT1G64510	8840	5046	7849	4502	5401	3035	5097	8346	5597
AT1G64520	2020	2500	2199	1297	1236	1058	1269	1307	1411
AT1G64530	412	368	369	166	188	167	104	174	106
AT1G64540	5	12	4	0	0	0	0	1	4
AT1G64550	1877	2099	1805	1030	1160	954	1010	1247	1089
AT1G64561	41	51	34	76	45	81	81	39	60
AT1G64563	40	72	73	79	115	93	123	42	99
AT1G64570	1037	1345	1195	903	917	1012	932	1060	971
AT1G64572	163	178	177	110	78	97	140	133	112
AT1G64580	222	138	212	138	70	94	65	184	101
AT1G64583	64	36	46	22	26	0	4	18	20
AT1G64584	0	0	0	0	0	2	0	0	0
AT1G64585	0	0	0	0	0	0	0	0	0
AT1G64590	3	41	0	0	0	0	0	0	4
AT1G64600	297	278	251	100	89	126	96	105	59
AT1G64610	272	672	477	753	1063	849	492	305	562
AT1G64618	3	0	1	0	0	2	0	0	2
AT1G64620	186	202	185	141	144	139	167	147	154
AT1G64625	34	44	41	18	12	11	4	11	6
AT1G64630	543	617	579	398	276	282	393	488	426
AT1G64633	0	0	1	0	0	0	0	0	0
AT1G64640	943	332	1088	347	216	232	72	214	103
AT1G64650	1881	1655	1704	1055	1149	978	1011	968	955
AT1G64660	1257	5006	880	196	203	124	363	1667	871
AT1G64670	755	276	526	353	254	147	164	342	216
AT1G64680	3425	3409	5333	6427	4689	4799	4716	3645	4348
AT1G64690	84	12	64	47	48	58	8	28	10
AT1G64700	20	20	40	55	104	40	207	188	82
AT1G64710	1388	3190	2052	6172	4832	4230	1249	650	1256
AT1G64720	30720	34667	40704	42523	37706	38647	22400	30047	32192
AT1G64740	1155	1683	1654	1161	998	1063	1060	947	1262
AT1G64750	1301	1286	1304	903	667	608	635	985	711
AT1G64760	711	292	475	1130	1954	1339	2535	2632	2098
AT1G64770	4243	3372	5278	6523	5148	5118	5518	4637	4579
AT1G64780	124	134	154	173	138	137	274	164	216
AT1G64790	3095	3280	2997	1505	2199	1600	2012	2184	1601
AT1G64795	0	0	0	0	0	1	1	8	1
AT1G64800	1	0	0	0	0	0	0	0	0
AT1G64810	935	1205	1260	940	1082	1130	619	605	764
AT1G64820	0	0	5	0	3	8	3	4	14
AT1G64830	0	0	0	1	1	0	1	0	0
AT1G64840	400	387	304	217	128	194	174	212	218
AT1G64850	774	911	1069	1191	719	805	679	746	762
AT1G64860	2999	2699	2646	5129	4912	4489	2149	2440	2312
AT1G64870	0	0	0	0	0	0	0	0	0
AT1G64880	1355	892	1062	591	513	308	516	721	389
AT1G64890	463	693	546	405	390	318	825	636	730
AT1G64900	1814	3266	2376	2784	2619	2081	2132	1974	1829
AT1G64910	0	0	0	0	0	0	0	0	0
AT1G64920	0	0	2	0	0	0	0	0	0
AT1G64930	0	5	0	1	0	1	1	1	0
AT1G64940	5	34	6	7	8	8	15	17	18
AT1G64950	689	2318	1617	1428	1240	1514	1416	821	1769
AT1G64960	663	528	582	372	429	261	300	289	320
AT1G64970	1368	2139	2205	1992	1496	1800	1371	803	1138
AT1G64980	1171	798	1056	1810	2301	1814	1520	1631	1320
AT1G64990	473	624	529	405	315	313	267	365	309
AT1G65000	93	157	136	96	45	90	45	63	70
AT1G65010	2250	1078	2165	1574	1151	1100	437	1189	583
AT1G65020	412	459	459	282	246	209	207	290	247
AT1G65030	284	249	257	113	42	72	106	114	57
AT1G65032	105	143	103	59	63	41	67	111	53
AT1G65040	1150	1380	806	658	494	419	465	575	567
AT1G65050	0	0	0	8	4	0	0	0	0
AT1G65060	213	84	84	64	72	39	45	58	31
AT1G65070	1192	901	1089	753	634	641	469	651	466
AT1G65080	87	101	130	75	53	52	58	72	46
AT1G65090	1	3	9	3	1	7	1	3	3
AT1G65110	24	19	3	6	20	10	18	15	11
AT1G65113	0	0	0	0	0	0	0	0	0
AT1G65120	63	64	76	44	40	61	20	17	25
AT1G65130	15	31	24	15	12	8	2	12	3
AT1G65140	0	0	0	0	0	0	0	0	0
AT1G65150	14	21	45	102	74	95	46	44	49
AT1G65160	0	0	0	1	0	0	0	0	0
AT1G65165	0	0	0	0	0	0	0	0	0
AT1G65170	1	0	0	0	0	0	0	0	0
AT1G65180	14	28	29	0	13	3	4	4	8
AT1G65190	794	1592	1218	1994	1947	1687	1290	938	1156
AT1G65200	2	2	2	0	3	1	0	1	2
AT1G65210	0	0	0	0	2	0	0	0	0
AT1G65220	1854	1706	1712	1735	1558	1242	1370	1452	1454
AT1G65230	2210	1790	2785	2975	2779	2346	1925	1928	2325
AT1G65240	80	71	80	94	117	85	178	94	168
AT1G65250	91	162	156	219	318	248	215	128	138
AT1G65260	4819	3929	5488	5939	6305	5559	4532	5176	5008
AT1G65270	1298	1543	1321	972	850	930	724	795	801
AT1G65280	1158	1419	1316	862	729	750	639	835	779
AT1G65290	2135	2309	1897	1230	1008	710	1260	1677	1168
AT1G65295	388	276	586	407	335	313	223	305	247
AT1G65300	11	5	20	0	2	0	0	4	0
AT1G65310	309	2	345	0	8	2	5	182	12
AT1G65320	614	726	802	745	620	810	288	363	416
AT1G65330	30	0	40	46	24	34	8	20	8
AT1G65340	1	0	0	0	0	0	0	0	0
AT1G65342	0	0	0	0	0	0	0	0	0
AT1G65346	2	2	2	1	0	2	1	0	0
AT1G65349	0	0	0	0	0	0	0	0	0
AT1G65350	0	0	0	0	0	0	0	0	0
AT1G65352	0	0	0	4	0	0	0	0	0
AT1G65360	1	4	2	0	0	0	0	0	0
AT1G65370	1081	549	693	549	338	255	241	447	176
AT1G65380	276	308	322	173	266	212	44	72	44
AT1G65390	1313	530	266	4631	5786	3251	5341	4302	2648
AT1G65410	713	763	829	604	744	544	427	463	395
AT1G65420	257	284	311	249	158	181	98	178	104
AT1G65425	0	0	0	0	0	0	0	0	0
AT1G65430	649	974	626	756	641	542	993	966	1058
AT1G65440	3690	4383	4236	2639	3096	2929	2202	2496	2316
AT1G65450	334	104	268	46	28	16	10	46	4
AT1G65470	375	230	223	126	123	60	138	240	122
AT1G65480	0	0	2	2	4	6	0	0	3
AT1G65481	0	3	1	1	0	1	0	0	1
AT1G65483	0	27	11	0	0	0	0	0	0
AT1G65484	6	14	14	10	5	22	6	2	2
AT1G65486	159	122	102	259	406	253	444	334	343
AT1G65490	405	295	344	856	583	571	590	572	725
AT1G65500	27	244	144	69	69	150	58	128	81
AT1G65510	3	23	71	26	31	35	12	11	31
AT1G65520	162	236	242	230	226	204	291	214	305
AT1G65540	1409	2375	1664	1638	1640	1517	1634	1485	1474
AT1G65541	88	118	79	83	97	99	77	76	83
AT1G65550	2	0	0	0	2	0	0	0	0
AT1G65560	263	254	311	177	397	231	258	263	232
AT1G65570	0	0	0	0	0	0	0	0	0
AT1G65580	1735	2718	2303	2431	2291	2246	1818	2032	1972
AT1G65590	1356	1050	1485	2059	1683	2022	745	975	921
AT1G65610	20	428	73	14	0	3	13	2	19
AT1G65620	211	161	135	28	18	6	17	25	14
AT1G65630	0	2	1	0	0	3	0	0	0
AT1G65640	0	0	2	0	0	1	0	0	0
AT1G65650	1024	851	1108	608	517	517	590	640	510
AT1G65660	967	1177	1281	884	834	811	637	705	844
AT1G65670	1	4	2	0	0	0	1	0	0
AT1G65680	0	42	0	0	0	0	2	0	1
AT1G65681	0	0	2	0	0	0	0	0	0
AT1G65690	87	1054	559	119	163	82	218	69	365
AT1G65700	341	322	337	212	123	82	153	237	136
AT1G65710	140	14	95	18	6	0	2	14	4
AT1G65720	2221	3311	3305	2006	1971	1735	1849	1623	2155
AT1G65730	4	84	42	10	2	8	29	15	34
AT1G65735	0	0	0	0	0	0	0	0	0
AT1G65740	0	0	0	0	0	0	0	0	0
AT1G65760	1	0	0	4	6	33	6	4	5
AT1G65770	0	0	0	0	0	0	0	0	0
AT1G65780	2	1	0	2	0	3	2	0	1
AT1G65790	480	1474	1274	1181	2611	1617	1825	946	1618
AT1G65800	1893	4176	3953	4392	5241	4199	4079	2390	3770
AT1G65810	17	6	0	1	0	0	8	1	0
AT1G65820	1444	3687	2269	2000	2012	1742	1866	1411	2182
AT1G65830	0	0	0	0	0	0	0	0	0
AT1G65840	805	989	923	1007	890	831	1527	1353	1185
AT1G65845	119	334	209	476	445	485	161	254	352
AT1G65850	4	6	8	15	11	12	8	16	6
AT1G65860	584	1365	397	462	748	304	1454	977	1474
AT1G65870	22	12	13	14	5	14	10	33	20
AT1G65880	7	8	0	3	0	0	2	0	0
AT1G65890	141	368	34	41	43	41	1141	535	550
AT1G65900	372	135	187	109	160	80	91	161	61
AT1G65910	17	10	22	24	34	2	52	27	29
AT1G65920	455	152	280	114	122	107	57	61	60
AT1G65930	6971	12637	10447	7694	6429	6727	3707	3848	5001
AT1G65950	351	268	366	321	234	209	180	224	252
AT1G65960	18342	23788	22670	20061	20734	17468	19249	18745	20003
AT1G65970	512	753	885	788	411	406	510	590	528
AT1G65980	5580	6903	6161	5313	4057	5012	3434	2853	3633
AT1G65985	85	80	74	61	49	37	23	40	42
AT1G65990	0	0	0	0	0	1	1	0	0
AT1G66000	0	0	0	0	0	0	0	0	0
AT1G66020	0	8	1	0	4	2	4	0	0
AT1G66030	0	1	1	0	1	0	2	1	0
AT1G66040	164	157	168	53	60	60	21	25	61
AT1G66045	0	0	0	0	0	0	0	0	0
AT1G66050	291	243	252	83	93	54	25	85	112
AT1G66060	4	46	80	200	53	204	38	8	80
AT1G66070	327	399	340	256	191	229	304	334	283
AT1G66080	120	67	141	121	192	95	53	58	55
AT1G66090	800	757	766	7537	7593	6934	1881	2724	3021
AT1G66100	4195	5997	1658	6263	8279	2246	8814	11578	11593
AT1G66110	1	0	0	0	0	0	2	0	0
AT1G66120	0	2	0	10	0	1	0	0	0
AT1G66130	913	738	914	1015	741	762	359	353	505
AT1G66140	250	163	272	177	114	180	17	63	47
AT1G66145	0	0	0	0	0	0	0	0	0
AT1G66150	6418	5827	7383	4277	2959	3899	1540	2149	2239
AT1G66160	561	579	808	3848	3419	3755	2053	1659	1898
AT1G66170	6	2	4	20	6	15	25	27	4
AT1G66173	3	17	36	15	6	7	2	4	6
AT1G66180	3387	1871	4416	4781	3790	6519	1008	2036	2045
AT1G66190	192	137	130	100	86	30	40	116	20
AT1G66200	5149	10060	8033	7393	5008	6205	5433	3489	4970
AT1G66210	3	0	2	78	5	6	2	4	2
AT1G66220	0	0	0	0	0	0	0	0	0
AT1G66230	328	148	300	210	119	127	108	250	127
AT1G66235	0	1	0	0	0	0	0	0	0
AT1G66240	2255	2800	2301	2094	1253	1147	2000	2133	1980
AT1G66245	5	8	1	2	5	6	3	7	4
AT1G66250	316	134	234	82	84	72	64	73	53
AT1G66260	2798	2524	2934	3595	3137	2771	3248	3540	3484
AT1G66270	5	76	3	3	1	2	4	0	34
AT1G66280	22	1051	9	64	1	3	32	0	89
AT1G66290	0	0	1	0	0	0	0	0	0
AT1G66300	2	2	0	15	6	7	6	0	1
AT1G66310	0	0	2	1	0	0	2	0	0
AT1G66320	0	0	0	2	0	0	0	0	0
AT1G66330	1376	1525	1826	2389	1974	2072	990	1140	1171
AT1G66340	897	1204	1111	851	1079	862	961	819	880
AT1G66345	121	115	116	64	32	47	123	155	107
AT1G66350	448	740	562	110	198	40	965	1367	924
AT1G66360	0	4	0	2	0	0	0	2	0
AT1G66370	68	288	7	0	0	0	124	21	78
AT1G66380	32	101	16	2	0	0	4	0	0
AT1G66390	3	9	3	0	0	0	0	0	0
AT1G66400	162	197	526	276	146	123	444	923	864
AT1G66410	4994	6361	5341	3965	3387	2955	2904	3625	3195
AT1G66420	0	0	0	0	0	0	0	0	0
AT1G66430	2431	1043	1784	493	844	465	922	1302	794
AT1G66440	0	0	0	0	0	0	0	0	0
AT1G66450	8	18	19	0	0	0	1	8	8
AT1G66460	55	30	69	6	7	8	24	25	15
AT1G66465	52	103	70	17	17	30	83	58	51
AT1G66470	0	0	0	0	0	0	0	0	0
AT1G66480	47	115	89	62	198	92	153	59	117
AT1G66490	2	0	0	0	0	0	0	0	2
AT1G66500	122	196	346	1296	1701	1337	3754	3520	3848
AT1G66510	232	199	220	145	192	128	184	292	164
AT1G66520	353	239	292	172	142	94	178	234	127
AT1G66530	602	521	561	308	286	280	240	333	199
AT1G66540	81	84	99	103	72	82	61	68	60
AT1G66550	3	0	0	0	0	0	11	3	0
AT1G66560	0	0	3	0	1	0	0	0	0
AT1G66570	0	129	121	0	0	0	2	1	0
AT1G66580	4087	4104	3888	2516	2453	1788	3415	3562	2756
AT1G66590	220	260	263	170	124	94	107	132	126
AT1G66600	0	7	33	5	0	0	2	0	11
AT1G66610	0	0	0	1	0	0	0	0	2
AT1G66620	168	71	55	24	24	8	30	79	29
AT1G66630	2	0	0	0	0	0	0	0	0
AT1G66640	0	0	0	0	0	0	0	0	0
AT1G66650	51	13	36	19	10	21	29	7	30
AT1G66660	173	173	211	97	83	78	114	158	108
AT1G66670	3888	5566	5533	1980	1826	1437	1850	2224	1982
AT1G66680	875	1110	1160	744	733	655	573	616	593
AT1G66690	2	4	6	2	12	14	5	5	4
AT1G66700	23	248	119	64	14	6	39	2	2
AT1G66720	0	0	2	0	0	0	1	0	0
AT1G66725	16	72	13	63	108	33	191	124	232
AT1G66730	839	593	714	685	838	653	574	737	558
AT1G66740	295	347	261	280	243	190	253	289	298
AT1G66750	287	314	317	239	188	169	147	155	131
AT1G66760	2020	2481	1111	1138	5474	1891	14465	14101	16432
AT1G66770	0	0	0	0	0	0	0	0	0
AT1G66780	8	9	3	2	8	6	0	7	2
AT1G66783	0	0	0	1	0	0	0	0	0
AT1G66795	0	0	1	0	0	0	0	0	0
AT1G66800	5	21	3	0	0	0	0	0	4
AT1G66810	32	12	33	26	53	28	8	10	18
AT1G66820	504	472	464	460	301	303	257	488	208
AT1G66830	545	565	551	486	328	362	284	512	277
AT1G66840	222	267	257	138	100	142	51	90	65
AT1G66850	0	0	0	0	0	0	0	0	0
AT1G66852	0	0	0	0	0	0	0	0	0
AT1G66855	0	0	0	0	0	0	0	0	0
AT1G66860	101	353	56	0	0	0	11	6	3
AT1G66870	4	77	22	9	0	0	9	2	4
AT1G66880	880	2238	1261	1233	1739	1457	1254	521	1016
AT1G66890	356	317	420	618	330	470	56	72	140
AT1G66900	503	762	634	1084	1027	1026	518	561	821
AT1G66910	709	837	889	1112	935	912	562	478	640
AT1G66920	219	986	552	540	531	700	499	194	532
AT1G66930	488	177	354	223	160	122	55	169	51
AT1G66940	1781	876	1599	846	859	506	282	641	263
AT1G66950	4	0	1	21	2	0	0	0	0
AT1G66960	33	407	83	12	3	1	4	5	2
AT1G66970	6791	13182	9051	6981	7965	6135	6631	4963	6430
AT1G66980	3738	3816	3987	3782	3227	2886	2147	2062	2220
AT1G67000	33	563	141	101	65	25	700	32	322
AT1G67020	8	10	9	14	2	2	7	0	4
AT1G67025	0	0	2	1	2	0	0	0	0
AT1G67030	18	40	6	0	0	0	0	0	5
AT1G67035	50	11	46	3	0	0	2	2	2
AT1G67040	304	89	174	79	68	49	14	26	19
AT1G67050	406	763	654	174	110	126	36	102	94
AT1G67060	550	469	468	616	1064	621	661	874	768
AT1G67070	87	128	76	38	48	29	87	133	85
AT1G67080	447	513	569	459	401	362	346	319	247
AT1G67090	401802	252724	348698	272849	293157	162063	303270	414651	300901
AT1G67100	0	2	0	1	0	0	0	0	0
AT1G67105	12	20	19	132	56	98	10	12	6
AT1G67110	20	14	8	2	4	0	0	2	4
AT1G67120	1771	2578	1748	1003	1190	1087	1154	1180	707
AT1G67130	0	0	0	0	0	0	0	0	0
AT1G67140	1695	1769	1643	1241	1453	1246	908	1111	1043
AT1G67148	0	0	0	0	0	0	0	0	2
AT1G67150	2	0	0	0	0	0	0	1	0
AT1G67160	0	0	0	0	0	0	0	0	0
AT1G67170	315	299	340	180	113	128	203	181	191
AT1G67180	115	49	74	31	27	6	28	64	27
AT1G67190	384	367	417	269	132	149	481	373	376
AT1G67195	65	129	96	155	45	61	31	62	41
AT1G67210	107	91	109	62	53	74	92	108	95
AT1G67220	2	2	2	5	0	6	8	6	6
AT1G67230	3396	3005	3185	2623	1736	1921	1175	1760	1222
AT1G67235	0	0	0	0	0	2	0	0	0
AT1G67238	1	0	0	0	0	0	0	0	0
AT1G67250	739	676	796	523	419	395	377	403	366
AT1G67260	94	34	29	0	0	0	2	6	0
AT1G67265	207	278	73	89	20	92	8	64	38
AT1G67270	0	0	0	1	0	0	1	0	0
AT1G67280	5271	5696	7302	5727	5341	5417	4828	5097	5352
AT1G67290	0	0	0	16	0	0	0	1	0
AT1G67300	880	1094	860	961	689	643	861	962	1026
AT1G67310	1873	2920	2076	1516	2674	1592	2178	1746	1882
AT1G67320	397	350	289	144	133	66	186	207	196
AT1G67325	779	722	806	725	477	483	393	540	509
AT1G67328	80	224	90	86	54	70	46	36	78
AT1G67330	77	215	89	86	54	69	45	35	77
AT1G67340	420	424	411	608	251	416	112	198	234
AT1G67350	1488	1473	1500	1515	1009	894	971	1555	1091
AT1G67360	399	829	726	1125	1346	1286	725	532	1352
AT1G67365	57	178	126	107	68	74	94	63	186
AT1G67370	71	56	48	7	3	8	8	12	10
AT1G67390	0	0	0	0	0	0	0	0	0
AT1G67400	162	120	191	187	197	117	35	102	69
AT1G67410	278	306	265	213	176	164	239	231	255
AT1G67420	120	85	92	93	90	97	114	108	74
AT1G67430	7602	5513	5923	2564	2266	1446	3027	5329	2542
AT1G67440	649	599	806	597	513	471	388	450	309
AT1G67450	0	0	0	2	0	0	0	0	0
AT1G67455	0	4	0	5	3	1	0	1	1
AT1G67460	28	35	35	61	77	29	40	53	27
AT1G67470	254	270	362	1268	1444	1455	706	643	619
AT1G67480	2163	1786	2131	777	496	494	503	896	530
AT1G67481	2	0	0	1	7	0	0	5	0
AT1G67490	561	589	631	400	500	445	375	359	337
AT1G67500	557	579	608	366	424	510	245	273	247
AT1G67510	510	397	486	552	707	678	91	110	137
AT1G67520	82	255	182	81	53	99	64	47	77
AT1G67530	716	729	904	1460	3084	1831	1164	948	1271
AT1G67540	15	10	14	20	39	28	13	13	34
AT1G67550	824	1095	848	921	832	785	659	602	572
AT1G67560	2856	3468	2599	1488	1693	1580	2459	1841	1733
AT1G67570	64	57	88	66	50	23	63	75	54
AT1G67580	1851	2231	2370	1587	1656	1664	1395	1450	1667
AT1G67590	516	243	533	216	160	174	54	126	74
AT1G67600	16	23	51	39	12	31	14	15	25
AT1G67620	148	137	140	69	60	56	111	93	93
AT1G67623	0	0	0	0	0	0	14	4	2
AT1G67630	265	199	187	91	115	28	102	113	83
AT1G67635	2	0	0	0	0	0	0	0	0
AT1G67640	4	0	6	3	6	6	2	0	0
AT1G67650	143	316	196	123	48	111	132	93	126
AT1G67660	1309	1090	1507	850	608	498	624	880	682
AT1G67670	0	2	0	0	0	0	0	0	2
AT1G67680	1944	2146	1857	989	883	733	1232	1586	1187
AT1G67690	176	107	153	137	120	102	92	128	78
AT1G67700	7118	5342	8162	7748	8014	5997	5806	8410	6549
AT1G67710	178	296	179	19	27	20	16	33	19
AT1G67720	443	345	338	343	384	487	301	483	324
AT1G67730	1117	957	998	544	597	470	429	448	534
AT1G67740	32887	24374	33809	40096	44169	33520	29139	34229	35076
AT1G67750	356	261	269	207	251	101	58	124	66
AT1G67760	14	17	18	2	0	0	0	2	0
AT1G67770	5	0	2	0	0	0	0	0	0
AT1G67775	0	0	0	1	0	0	0	0	0
AT1G67780	40	11	28	4	2	2	1	19	3
AT1G67785	1102	1135	1189	891	640	491	767	1260	789
AT1G67790	236	275	265	187	206	197	220	264	245
AT1G67792	324	345	342	256	280	255	290	360	320
AT1G67800	363	804	602	672	762	507	708	486	612
AT1G67810	238	1262	850	204	176	195	146	56	186
AT1G67820	133	128	138	9	23	6	13	9	6
AT1G67830	699	296	451	320	288	151	104	253	148
AT1G67840	1935	1813	2361	2698	3054	2648	1465	1474	1851
AT1G67850	336	411	304	215	389	278	1221	915	769
AT1G67855	14	25	44	86	193	174	247	165	369
AT1G67856	42	68	169	189	330	296	348	258	605
AT1G67860	632	1258	1496	891	838	767	1139	786	914
AT1G67865	2303	5004	3659	6147	5325	5313	4670	4038	3755
AT1G67870	3861	6640	7292	7941	8774	9975	8606	6374	5959
AT1G67880	380	264	382	762	832	856	499	486	591
AT1G67890	865	937	886	912	1007	783	591	723	692
AT1G67900	2576	2681	2376	3037	1678	3006	924	3443	1683
AT1G67910	222	262	208	715	398	808	30	24	50
AT1G67920	47	189	114	537	1141	946	404	153	530
AT1G67930	1374	1269	1380	769	579	652	964	1019	793
AT1G67940	251	424	368	408	259	222	248	158	191
AT1G67950	687	501	541	507	489	265	515	707	429
AT1G67960	442	414	376	337	326	297	207	302	282
AT1G67970	485	841	847	946	452	594	455	619	624
AT1G67980	64	1127	640	244	37	54	78	4	48
AT1G67990	0	0	2	0	0	0	0	0	0
AT1G68000	682	1032	884	692	761	617	427	475	663
AT1G68010	17694	16465	24049	29882	25135	25280	20529	15171	19633
AT1G68020	3092	2693	2475	1518	1431	1376	793	1453	1505
AT1G68030	41	25	51	50	14	14	10	7	17
AT1G68040	0	5	6	6	2	4	0	2	4
AT1G68050	639	1463	2148	433	194	210	112	210	330
AT1G68060	2178	1492	2041	1253	1286	1205	861	1639	1031
AT1G68070	541	692	671	358	330	308	215	247	282
AT1G68080	249	210	172	181	138	121	46	96	65
AT1G68090	6	7	4	4	6	3	0	4	0
AT1G68100	727	922	817	488	537	501	398	381	429
AT1G68110	59	267	164	158	36	57	56	51	34
AT1G68120	18	4	11	4	1	0	6	4	2
AT1G68130	454	496	448	88	47	44	112	173	129
AT1G68140	1292	1970	1869	1256	1212	1220	890	1048	1069
AT1G68150	2	11	7	6	0	0	0	1	2
AT1G68160	270	297	304	198	150	164	123	164	141
AT1G68170	10	0	0	1	0	0	0	0	1
AT1G68180	4	0	4	0	8	2	2	2	2
AT1G68185	165	133	172	123	148	111	61	96	78
AT1G68190	1220	955	1235	1824	1023	1376	472	968	879
AT1G68200	16	64	14	12	32	25	21	19	32
AT1G68210	0	0	1	0	1	0	83	22	41
AT1G68220	600	405	530	647	483	645	273	324	311
AT1G68230	57	60	47	53	53	41	92	67	42
AT1G68238	26	23	37	58	29	23	24	6	20
AT1G68240	0	0	2	1	4	3	0	4	2
AT1G68250	4	6	0	6	144	36	314	314	248
AT1G68260	629	503	415	239	278	133	298	414	329
AT1G68270	0	1	0	0	0	0	0	0	0
AT1G68280	0	0	0	0	0	1	0	2	0
AT1G68290	169	213	124	117	136	123	173	156	149
AT1G68300	918	1352	955	718	748	583	802	598	806
AT1G68310	416	449	435	324	292	227	283	353	329
AT1G68320	0	6	13	8	0	50	6	0	2
AT1G68325	0	0	0	0	0	0	0	0	0
AT1G68330	198	189	230	28	76	22	75	71	52
AT1G68340	79	202	92	268	530	192	755	439	373
AT1G68350	8	8	2	20	14	2	131	69	100
AT1G68360	6	14	6	0	0	0	7	8	4
AT1G68370	911	991	957	804	669	645	789	867	823
AT1G68380	0	2	0	0	0	0	0	0	0
AT1G68390	26	45	42	4	5	12	4	26	13
AT1G68400	1173	671	1160	522	289	445	54	216	131
AT1G68410	1116	956	969	1028	1045	983	1085	841	1097
AT1G68420	0	0	0	0	0	0	0	0	0
AT1G68430	38	18	10	2	6	4	14	14	20
AT1G68440	2490	2188	1698	676	383	446	338	542	971
AT1G68450	21	88	64	0	2	0	0	0	2
AT1G68460	54	8	46	16	6	8	0	2	2
AT1G68470	448	212	202	56	79	25	89	67	45
AT1G68480	14	0	3	10	1	0	0	0	0
AT1G68490	480	695	830	538	187	351	296	505	495
AT1G68500	98	34	86	20	8	10	80	122	58
AT1G68510	6	0	2	0	0	0	0	0	1
AT1G68520	8488	10919	13161	7347	1114	4523	1477	2611	2254
AT1G68526	2	10	0	1	0	0	0	0	0
AT1G68530	10776	11829	14859	4669	3377	3698	7038	6478	11642
AT1G68540	180	159	147	271	222	191	108	215	152
AT1G68550	669	584	493	358	174	274	212	573	315
AT1G68560	9530	7258	9308	6871	5951	7055	3056	6669	4566
AT1G68568	225	192	200	59	76	85	26	37	38
AT1G68570	820	609	730	231	228	279	85	111	88
AT1G68580	2480	2240	2366	2449	2448	2496	1629	1719	2005
