gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT3G04640	450	613	1026	8712	8498	8452	3421	3775	4041
AT3G04645	0	0	0	0	0	0	0	0	0
AT3G04650	878	800	937	1020	1494	1081	1246	1167	1121
AT3G04655	0	0	0	0	0	0	0	0	0
AT3G04660	0	0	4	0	4	2	0	0	2
AT3G04665	0	0	0	0	0	0	0	0	0
AT3G04670	504	406	454	661	514	635	402	518	620
AT3G04675	0	0	0	0	0	0	0	0	0
AT3G04680	539	428	454	340	362	306	307	378	285
AT3G04685	23	21	38	73	26	43	21	29	66
AT3G04690	266	217	238	211	162	127	37	143	68
AT3G04695	175	316	233	122	147	115	117	87	107
AT3G04700	32	29	38	114	19	27	15	27	16
AT3G04705	0	0	0	0	0	0	0	0	0
AT3G04710	292	333	261	230	103	108	194	173	97
AT3G04720	13868	53707	13990	2413	1236	1612	5168	462	3416
AT3G04725	0	1	0	0	0	0	0	0	0
AT3G04730	4403	5763	5657	5730	3939	4977	5845	7703	8007
AT3G04735	0	0	0	0	0	0	0	0	0
AT3G04740	1590	2237	1881	1230	1064	1189	1493	1768	1468
AT3G04745	0	0	0	4	0	0	0	0	0
AT3G04750	306	439	501	248	146	174	226	314	220
AT3G04755	61	65	57	39	43	33	34	72	47
AT3G04760	1799	1602	1903	1096	816	980	476	914	656
AT3G04765	0	0	0	0	0	0	0	0	0
AT3G04770	169	144	167	75	38	39	99	80	56
AT3G04775	2	0	0	0	1	0	1	0	0
AT3G04780	443	442	409	304	287	251	231	305	303
AT3G04785	23	11	7	16	5	4	4	18	8
AT3G04790	7438	6076	7111	4235	4131	2473	5693	6409	4937
AT3G04795	0	0	0	0	0	0	0	0	0
AT3G04800	33	6	7	1	0	3	25	31	11
AT3G04805	0	0	0	0	0	0	0	0	0
AT3G04810	1005	814	964	582	486	394	231	574	286
AT3G04815	0	1	1	1	1	1	0	0	3
AT3G04820	355	297	331	131	127	153	120	183	125
AT3G04825	60	89	95	38	32	16	47	47	40
AT3G04830	989	929	984	736	585	530	606	602	453
AT3G04835	134	192	209	101	133	89	68	107	101
AT3G04840	8236	6016	5916	2339	2212	1309	3550	5325	2872
AT3G04845	1	0	0	1	2	1	0	0	0
AT3G04850	145	57	86	20	25	10	23	62	19
AT3G04854	10	5	2	0	2	0	2	14	1
AT3G04855	0	0	3	0	0	1	1	0	0
AT3G04860	134	137	147	150	89	87	18	60	34
AT3G04870	2757	2790	3565	2720	2487	2531	2229	2078	2229
AT3G04875	0	0	1	0	0	0	0	0	0
AT3G04880	1416	1830	1774	1447	1198	1390	1176	1082	1172
AT3G04890	713	735	750	854	721	611	435	615	574
AT3G04895	0	0	0	0	0	0	0	0	0
AT3G04900	3	0	1	0	1	1	4	0	6
AT3G04903	0	0	0	0	0	0	0	0	0
AT3G04905	0	0	0	0	0	0	0	0	0
AT3G04910	5132	5954	6996	7175	5696	5493	7420	9759	8753
AT3G04915	5	8	11	5	4	5	1	5	7
AT3G04920	5065	2907	4000	2281	1540	1094	1759	3373	1498
AT3G04925	0	0	0	0	0	0	0	0	0
AT3G04930	1548	2191	2173	1799	1750	1774	1649	1784	1616
AT3G04935	0	0	0	0	0	1	0	0	0
AT3G04940	1497	1115	1285	817	850	721	582	859	651
